title;link;rub_price;year;mileage;engine_capacity;hp;fuel_type;gearbox;carbody;city;ad_living_time;transmission;color
49.0;https://auto.ru/cars/used/sale/volkswagen/touareg/1102698233-b307fd04/;1940000.0;2012.0;156000.0;3.0;204.0;1.0;1.0;3.0;104.0;22 минуты назад;0.0;2.0
55.0;https://auto.ru/cars/used/sale/hyundai/santa_fe/1104736124-b6df0a2e/;2790000.0;2018.0;127000.0;2.2;200.0;1.0;3.0;3.0;104.0;22 минуты назад;0.0;3.0
23.0;https://auto.ru/cars/used/sale/bentley/continental_gt/1104848474-0c54f0ed/;2750000.0;2008.0;77000.0;6.0;610.0;0.0;1.0;2.0;104.0;1 час назад;0.0;1.0
12.0;https://auto.ru/cars/used/sale/skoda/octavia/1105048495-2237cd95/;760000.0;2013.0;195000.0;2.0;143.0;1.0;3.0;7.0;104.0;21 минута назад;1.0;0.0
13.0;https://auto.ru/cars/used/sale/mazda/cx_7/1105079643-3bafb861/;760000.0;2011.0;243000.0;2.3;260.0;0.0;3.0;3.0;104.0;21 минута назад;0.0;9.0
55.0;https://auto.ru/cars/used/sale/hyundai/creta/1105270267-7d868b81/;1660000.0;2019.0;38000.0;1.6;128.0;1.0;3.0;3.0;113.0;1 час назад;1.0;11.0
50.0;https://auto.ru/cars/used/sale/chevrolet/orlando/1105079056-7c1fdb20/;840000.0;2013.0;121000.0;1.8;141.0;0.0;3.0;4.0;104.0;1 час назад;1.0;11.0
12.0;https://auto.ru/cars/used/sale/skoda/octavia/1102606495-153cd18c/;760000.0;2013.0;122000.0;2.0;150.0;1.0;2.0;7.0;5.0;1 час назад;1.0;5.0
13.0;https://auto.ru/cars/used/sale/mazda/3/1103691283-dfa01f14/;340000.0;2005.0;183000.0;1.6;105.0;0.0;1.0;1.0;5.0;1 час назад;1.0;3.0
54.0;https://auto.ru/cars/used/sale/audi/a6/1105008144-70c6928d/;210000.0;1996.0;423000.0;2.6;150.0;0.0;1.0;15.0;51.0;2 часа назад;1.0;2.0
15.0;https://auto.ru/cars/used/sale/kia/k5/1104251613-ac573e88/;1840000.0;2020.0;52000.0;2.0;150.0;0.0;1.0;15.0;104.0;22 минуты назад;1.0;11.0
62.0;https://auto.ru/cars/used/sale/lamborghini/aventador/1104712392-a88903d2/;52360000.0;2019.0;1000.0;6.5;770.0;0.0;2.0;5.0;104.0;29 минут назад;0.0;1.0
55.0;https://auto.ru/cars/used/sale/hyundai/santa_fe/1105258311-0053bd9a/;860000.0;2006.0;208000.0;2.4;174.0;0.0;1.0;3.0;5.0;1 час назад;1.0;1.0
37.0;https://auto.ru/cars/used/sale/volvo/s60/1105158626-171549f3/;840000.0;2011.0;155000.0;2.5;249.0;0.0;1.0;15.0;104.0;1 час назад;0.0;11.0
26.0;https://auto.ru/cars/used/sale/toyota/camry/1105238401-fcfecc46/;1400000.0;2014.0;142000.0;3.5;277.0;0.0;1.0;15.0;104.0;58 минут назад;1.0;1.0
8.0;https://auto.ru/cars/used/sale/land_rover/range_rover/1103517489-e6dde940/;1190000.0;2008.0;194000.0;4.4;306.0;0.0;1.0;3.0;104.0;1 час назад;0.0;1.0
54.0;https://auto.ru/cars/used/sale/audi/q7/1104033262-5ecdcd13/;5800000.0;2020.0;8000.0;3.0;462.0;3.0;1.0;3.0;104.0;22 минуты назад;0.0;1.0
48.0;https://auto.ru/cars/used/sale/vaz/xray/1105028630-6f93d06c/;680000.0;2017.0;94000.0;1.6;106.0;0.0;3.0;1.0;26.0;1 час назад;1.0;5.0
23.0;https://auto.ru/cars/used/sale/bentley/continental_gt/1104848474-0c54f0ed/;2750000.0;2008.0;77000.0;6.0;610.0;0.0;1.0;2.0;104.0;1 час назад;0.0;1.0
49.0;https://auto.ru/cars/used/sale/volkswagen/polo/1104234094-e488bb9a/;920000.0;2018.0;60000.0;1.6;105.0;0.0;1.0;15.0;104.0;22 минуты назад;1.0;11.0
13.0;https://auto.ru/cars/used/sale/mazda/3/1105023352-2bb2000b/;960000.0;2014.0;104000.0;1.6;104.0;0.0;1.0;15.0;104.0;1 час назад;1.0;1.0
26.0;https://auto.ru/cars/used/sale/toyota/land_cruiser/1105121409-3b78c8ee/;;2016.0;13000.0;4.0;271.0;0.0;1.0;3.0;135.0;NODATA;0.0;1.0
55.0;https://auto.ru/cars/used/sale/hyundai/creta/1105090647-61be915e/;1380000.0;2017.0;54000.0;1.6;128.0;1.0;3.0;3.0;62.0;5 минут назад;1.0;9.0
15.0;https://auto.ru/cars/used/sale/kia/sorento/1104867933-60278769/;430000.0;2005.0;223000.0;3.5;195.0;0.0;1.0;3.0;51.0;2 часа назад;0.0;2.0
26.0;https://auto.ru/cars/used/sale/toyota/camry/1105291292-7dfab546/;810000.0;2009.0;195000.0;3.5;277.0;0.0;1.0;15.0;5.0;1 час назад;1.0;1.0
38.0;https://auto.ru/cars/used/sale/great_wall/hoverh5/1105236256-70675c9e/;670000.0;2012.0;158000.0;2.0;143.0;1.0;1.0;3.0;114.0;2 часа назад;0.0;1.0
51.0;https://auto.ru/cars/used/sale/nissan/qashqai/1104954511-10b04ba6/;1380000.0;2017.0;133000.0;2.0;144.0;0.0;0.0;3.0;104.0;22 минуты назад;0.0;8.0
21.0;https://auto.ru/cars/used/sale/genesis/g70/1103781513-530f72ae/;2350000.0;2018.0;75000.0;2.0;252.0;0.0;1.0;15.0;104.0;31 минута назад;0.0;9.0
27.0;https://auto.ru/cars/used/sale/mercedes/vito/1104263529-94feb493/;1360000.0;2012.0;300000.0;2.1;95.0;1.0;3.0;17.0;104.0;22 минуты назад;2.0;1.0
26.0;https://auto.ru/cars/used/sale/toyota/land_cruiser/1105204719-e479ea3c/;2750000.0;2011.0;158000.0;4.7;288.0;0.0;1.0;3.0;109.0;1 час назад;0.0;1.0
38.0;https://auto.ru/cars/used/sale/great_wall/hoverh6/1104835483-53ff0bea/;590000.0;2013.0;167000.0;2.4;164.0;0.0;1.0;3.0;104.0;22 минуты назад;1.0;1.0
9.0;https://auto.ru/cars/used/sale/mitsubishi/asx/1104982161-678043e9/;1070000.0;2013.0;142000.0;1.8;116.0;1.0;3.0;3.0;104.0;21 минута назад;1.0;8.0
54.0;https://auto.ru/cars/used/sale/audi/q7/1103993959-ba85ef00/;1940000.0;2014.0;156000.0;3.0;204.0;1.0;1.0;3.0;114.0;1 час назад;0.0;8.0
27.0;https://auto.ru/cars/used/sale/mercedes/e_klasse/1105280135-7ac0e2c7/;4360000.0;2020.0;4000.0;2.0;306.0;3.0;1.0;15.0;104.0;28 минут назад;2.0;1.0
48.0;https://auto.ru/cars/used/sale/vaz/vesta/1105294812-a457b53c/;1110000.0;2019.0;22000.0;1.6;106.0;0.0;3.0;16.0;114.0;22 минуты назад;1.0;9.0
48.0;https://auto.ru/cars/used/sale/vaz/granta/1104599720-8782e017/;280000.0;2014.0;96000.0;1.6;98.0;0.0;1.0;15.0;84.0;4 часа назад;1.0;11.0
26.0;https://auto.ru/cars/used/sale/toyota/camry/1105283596-c8ba1dd0/;2120000.0;2017.0;53000.0;2.0;150.0;0.0;1.0;15.0;125.0;1 час назад;1.0;11.0
27.0;https://auto.ru/cars/used/sale/mercedes/e_klasse/1104897575-885de078/;4700000.0;2021.0;1000.0;1.6;160.0;1.0;1.0;15.0;104.0;22 минуты назад;2.0;1.0
15.0;https://auto.ru/cars/used/sale/kia/optima/1105099509-ef0aeb43/;2000000.0;2018.0;129000.0;2.0;150.0;0.0;3.0;15.0;104.0;21 минута назад;1.0;11.0
54.0;https://auto.ru/cars/used/sale/audi/a1/1103745127-b8786ae7/;620000.0;2011.0;169000.0;1.4;140.0;0.0;3.0;11.0;104.0;22 минуты назад;1.0;13.0
20.0;https://auto.ru/cars/used/sale/opel/zafira_life/1104961630-4158d480/;3430000.0;2019.0;54000.0;2.0;150.0;1.0;3.0;17.0;104.0;22 минуты назад;0.0;1.0
55.0;https://auto.ru/cars/used/sale/hyundai/solaris/1105099507-81597eeb/;620000.0;2011.0;195000.0;1.6;123.0;0.0;3.0;15.0;104.0;21 минута назад;1.0;1.0
9.0;https://auto.ru/cars/used/sale/mitsubishi/outlander/1105294811-b4d17768/;1350000.0;2012.0;96000.0;2.0;146.0;0.0;0.0;3.0;114.0;22 минуты назад;0.0;11.0
26.0;https://auto.ru/cars/used/sale/toyota/land_cruiser/1104714226-ce16cb5e/;4280000.0;2016.0;196000.0;4.6;309.0;0.0;1.0;3.0;104.0;22 минуты назад;0.0;1.0
36.0;https://auto.ru/cars/used/sale/bmw/x4/1104642463-44c70b08/;2480000.0;2016.0;100000.0;2.0;245.0;0.0;1.0;3.0;104.0;32 минуты назад;0.0;9.0
20.0;https://auto.ru/cars/used/sale/opel/insignia/1105112257-e6281d9e/;1480000.0;2014.0;179000.0;2.0;170.0;1.0;1.0;15.0;104.0;21 минута назад;1.0;1.0
61.0;https://auto.ru/cars/used/sale/ford/focus/1104645354-c7f13942/;810000.0;2018.0;61000.0;1.5;150.0;0.0;1.0;16.0;104.0;22 минуты назад;1.0;11.0
55.0;https://auto.ru/cars/used/sale/hyundai/santa_fe/1103992622-133285e9/;1650000.0;2017.0;148000.0;2.2;200.0;1.0;1.0;3.0;104.0;22 минуты назад;1.0;11.0
61.0;https://auto.ru/cars/used/sale/ford/focus/1105151750-19ace41c/;460000.0;2013.0;163000.0;1.6;125.0;0.0;3.0;16.0;104.0;21 минута назад;1.0;11.0
5.0;https://auto.ru/cars/used/sale/subaru/legacy/1104829310-82eb1c38/;930000.0;2011.0;225000.0;2.0;150.0;0.0;3.0;15.0;104.0;22 минуты назад;0.0;1.0
13.0;https://auto.ru/cars/used/sale/mazda/3/1103801793-d56e27e8/;960000.0;2014.0;109000.0;2.5;184.0;0.0;1.0;1.0;5.0;1 час назад;1.0;2.0
51.0;https://auto.ru/cars/used/sale/nissan/x_trail/1105003837-aabd560c/;1440000.0;2012.0;105000.0;2.5;170.0;0.0;0.0;3.0;104.0;22 минуты назад;0.0;14.0
61.0;https://auto.ru/cars/used/sale/ford/focus/1105036665-f57f2a38/;580000.0;2012.0;123000.0;1.6;125.0;0.0;2.0;16.0;104.0;1 час назад;1.0;11.0
54.0;https://auto.ru/cars/used/sale/audi/a6/1105008144-70c6928d/;210000.0;1996.0;423000.0;2.6;150.0;0.0;1.0;15.0;51.0;2 часа назад;1.0;2.0
13.0;https://auto.ru/cars/used/sale/mazda/cx_7/1105022031-47e2658d/;1090000.0;2011.0;191000.0;2.5;163.0;0.0;1.0;3.0;104.0;21 минута назад;1.0;11.0
7.0;https://auto.ru/cars/used/sale/porsche/cayenne/1104265948-5d79c8a1/;9860000.0;2021.0;5000.0;4.0;550.0;3.0;1.0;3.0;104.0;22 минуты назад;0.0;8.0
